--- 🚛 POPRAWIONA Analiza Skrzyń Biegów ETS2 ---
Obroty silnika do porównania (RPM): 2000
Założony obwód koła: 3.09 metra.
Pamiętaj: Teoretyczna prędkość może się nieznacznie różnić od rzeczywistej w grze ze względu na opory powietrza, tarcie i małe różnice w modelach kół.

## 📊 Wyniki Analizy Skrzyń Biegów (od najszybszej do najwolniejszej):
Nazwa Skrzyni (Plik / Model)                       | Model Ciężarówki          | Dyfer      | Bieg Max   | Prędkość (km/h) | Zmierzona V (km/h)
---------------------------------------------------------------------------------------------------------------------------------------
ishift_ato2612g_aso.sii (ato2612g_au)              | volvo.vnl2025             | 2.47       | 0.78       | 192.46          |                   
tx12.sii (tx12)                                    | kenworth.t680_2022        | 2.64       | 0.77       | 182.41          |                   
t14.sii (t14)                                      | intnational.lt            | 2.64       | 0.78       | 180.07          |                   
mdrive_tmd14ao.sii (tmd14ao)                       | mack.pinnacle             | 2.64       | 0.78       | 180.07          |                   
dt12_he_idp.sii (dt12_he_idp)                      | freightliner.cascadia2024 | 2.16       | 1.00       | 171.67          |                   
ishift_at2612g_aso.sii (at2612g_au)                | volvo.vnl2025             | 2.17       | 1.00       | 170.88          |                   
ishift_ato2612g.sii (ato2612g)                     | volvo.vnl2025             | 2.79       | 0.78       | 170.39          |                   
dt12_oa.sii (dt12_oa)                              | freightliner.cascadia2019 | 2.85       | 0.78       | 166.80          |                   
dt12_oc_ohe.sii (dt12_ohe)                         | westernstar.49x           | 2.85       | 0.78       | 166.80          |                   
dt12_oa.sii (dt12_oa)                              | westernstar.5700xe        | 2.85       | 0.78       | 166.80          |                   
dt12_oa.sii (dt12_oh)                              | westernstar.57x           | 2.85       | 0.78       | 166.80          |                   
dt12_oc_ohe.sii (dt12_ohe)                         | westernstar.57x           | 2.85       | 0.78       | 166.80          |                   
13_speed.sii (13_speed)                            | kenworth.t680_2022        | 3.08       | 0.73       | 164.92          |                   
allison_tc10.sii (allison_tc10)                    | intnational.lonestar      | 2.64       | 0.86       | 163.32          |                   
allison_tc10.sii (allison_tc10)                    | kenworth.t680             | 2.64       | 0.86       | 163.32          |                   
allison_tc10.sii (allison_tc10)                    | kenworth.w900             | 2.64       | 0.86       | 163.32          |                   
allison_tc10.sii (allison_tc10)                    | peterbilt.389             | 2.64       | 0.86       | 163.32          |                   
allison_tc10.sii (allison_tc10)                    | peterbilt.579             | 2.64       | 0.86       | 163.32          |                   
allison4700.sii (allison4700)                      | freightliner.cascadia2019 | 3.55       | 0.64       | 163.20          |                   
allison4700_retarder.sii (allison4700r)            | freightliner.cascadia2019 | 3.55       | 0.64       | 163.20          |                   
allison4700.sii (allison4700)                      | intnational.lonestar      | 3.55       | 0.64       | 163.20          |                   
allison4700_retarder.sii (allison4700r)            | intnational.lonestar      | 3.55       | 0.64       | 163.20          |                   
