--- 🚛 POPRAWIONA Analiza Skrzyń Biegów ETS2 ---
Obroty silnika do porównania (RPM): 2000
Założony obwód koła: 3.09 metra.
Pamiętaj: Teoretyczna prędkość może się nieznacznie różnić od rzeczywistej w grze ze względu na opory powietrza, tarcie i małe różnice w modelach kół.

## 📊 Wyniki Analizy Skrzyń Biegów (od najszybszej do najwolniejszej):
Nazwa Skrzyni (Plik / Model)                       | Model Ciężarówki          | Dyfer      | Bieg Max   | Prędkość (km/h) | Zmierzona V (km/h)
---------------------------------------------------------------------------------------------------------------------------------------
g25cm.sii (g25cm)                                  | scania.r_2016             | 2.59       | 0.78       | 183.55          |                   
g25cm_r.sii (g25cm_r)                              | scania.r_2016             | 2.59       | 0.78       | 183.55          |                   
g33cm.sii (g33cm)                                  | scania.r_2016             | 2.59       | 0.78       | 183.55          |                   
g33cm_r.sii (g33cm_r)                              | scania.r_2016             | 2.59       | 0.78       | 183.55          |                   
g38cm.sii (g38cm)                                  | scania.r_2016             | 2.59       | 0.78       | 183.55          |                   
g38cm_r.sii (g38cm_r)                              | scania.r_2016             | 2.59       | 0.78       | 183.55          |                   
g25cm.sii (g25cm)                                  | scania.s_2016             | 2.59       | 0.78       | 183.55          |                   
g25cm_r.sii (g25cm_r)                              | scania.s_2016             | 2.59       | 0.78       | 183.55          |                   
g33cm.sii (g33cm)                                  | scania.s_2016             | 2.59       | 0.78       | 183.55          |                   
g33cm_r.sii (g33cm_r)                              | scania.s_2016             | 2.59       | 0.78       | 183.55          |                   
g38cm.sii (g38cm)                                  | scania.s_2016             | 2.59       | 0.78       | 183.55          |                   
g38cm_r.sii (g38cm_r)                              | scania.s_2016             | 2.59       | 0.78       | 183.55          |                   
ato3812g.sii (ato3812g)                            | volvo.fh_2024             | 2.64       | 0.78       | 180.07          |                   
ato3812g_r.sii (ato3812g_r)                        | volvo.fh_2024             | 2.64       | 0.78       | 180.07          |                   
zf_12tx2860td.sii (zf12tx2860td)                   | iveco.sway                | 2.17       | 1.00       | 170.88          |                   
zf_12tx2861td.sii (zf12tx2861td)                   | iveco.sway                | 2.17       | 1.00       | 170.88          |                   
zf_12tx2420td.sii (zf12tx2420td)                   | iveco.sway                | 2.31       | 1.00       | 160.52          |                   
zf_12tx2421td.sii (zf12tx2421td)                   | iveco.sway                | 2.31       | 1.00       | 160.52          |                   
at2812g.sii (at2812g)                              | volvo.fh_2024             | 2.31       | 1.00       | 160.52          |                   
at2812g_r.sii (at2812g_r)                          | volvo.fh_2024             | 2.31       | 1.00       | 160.52          |                   
retard.sii (at2812g_r)                             | N/A (Sprawdź ścieżkę!)    | 2.31       | 1.00       | 160.52          |                   
zf_12tx2610to.sii (zf12tx2610to)                   | daf.xf_euro6              | 3.08       | 0.77       | 156.35          |                   
zf_12tx2611to.sii (zf12tx2611to)                   | daf.xf_euro6              | 3.08       | 0.77       | 156.35          |                   
zf_12tx2610to.sii (zf12tx2610to)                   | daf.2021                  | 3.08       | 0.77       | 156.35          |                   
zf_12tx2611to.sii (zf12tx2611to)                   | daf.2021                  | 3.08       | 0.77       | 156.35          |                   
zf_12tx2610to.sii (zf12tx2610to)                   | daf.xd                    | 3.08       | 0.77       | 156.35          |                   
zf_12tx2611to.sii (zf12tx2611to)                   | daf.xd                    | 3.08       | 0.77       | 156.35          |                   
zf_12as3140to.sii (tm1230od)                       | man.tgx_2020              | 3.08       | 0.77       | 156.35          |                   
zf_12as3141to.sii (tm1230odr)                      | man.tgx_2020              | 3.08       | 0.77       | 156.35          |                   
12_speed_over.sii (12_speed_o)                     | daf.xf                    | 3.08       | 0.78       | 154.35          |                   
12_speed_ret_over.sii (12_speed_ro)                | daf.xf                    | 3.08       | 0.78       | 154.35          |                   
12_speed_over.sii (12_speed_o)                     | daf.xf_euro6              | 3.08       | 0.78       | 154.35          |                   
12_speed_ret_over.sii (12_speed_ro)                | daf.xf_euro6              | 3.08       | 0.78       | 154.35          |                   
12_speed_over.sii (12_speed_o)                     | iveco.hiway               | 3.08       | 0.78       | 154.35          |                   
12_speed_ret_over.sii (12_speed_ro)                | iveco.hiway               | 3.08       | 0.78       | 154.35          |                   
12_speed_over.sii (12_speed_o)                     | iveco.stralis             | 3.08       | 0.78       | 154.35          |                   
12_speed_ret_over.sii (12_speed_ro)                | iveco.stralis             | 3.08       | 0.78       | 154.35          |                   
12_speed_over.sii (12_speed_o)                     | man.tgx                   | 3.08       | 0.78       | 154.35          |                   
12_speed_ret_over.sii (12_speed_ro)                | man.tgx                   | 3.08       | 0.78       | 154.35          |                   
zf_12as3140to.sii (zf12as3140to)                   | man.tgx_euro6             | 3.08       | 0.78       | 154.35          |                   
zf_12as3141to.sii (zf12as3141to)                   | man.tgx_euro6             | 3.08       | 0.78       | 154.35          |                   
12_speed_over.sii (12_speed_o)                     | renault.magnum            | 3.08       | 0.78       | 154.35          |                   
12_speed_ret_over.sii (12_speed_ro)                | renault.magnum            | 3.08       | 0.78       | 154.35          |                   
